id,word,phonetic,pos,meaning,day,section
1,space,/speɪs/,n.,外层空间；太空；空间,1,旋转相关
2,spacious,/ˈspeɪʃəs/,adj.,宽敞的,1,旋转相关
3,universe,/ˈjuːnɪvɜːs/,n.,宇宙；领域，体系（uni- 统一，一起；-verse 旋转）,1,旋转相关
4,universal,/ˌjuːnɪˈvɜːsl/,adj.,普遍的；全世界的；共同的,1,旋转相关
5,unite,/juˈnaɪt/,v.,联合；团结,1,旋转相关
6,reunite,/ˌriːjuˈnaɪt/,v.,（使）重逢；再次相聚,1,旋转相关
7,union,/ˈjuːniən/,n.,协会，联合会；工会,1,旋转相关
8,diverse,/daɪˈvɜːs/,adj.,不同的；多种多样的（di- 分开）,1,旋转相关
9,convert,/kənˈvɜːt/,v. / n.,转变；转换　n. 改变信仰者,1,旋转相关
10,reverse,/rɪˈvɜːs/,v. / adj. / n.,逆转；彻底改变　adj. 相反的；反向的　n. 逆转；倒档,1,旋转相关
11,reversely,/rɪˈvɜːsli/,adv.,相反地（作文代替 but）＝ on the contrary,1,旋转相关
12,anniversary,/ˌænɪˈvɜːsəri/,n.,周年纪念日（anni- 年）,1,旋转相关
13,annual,/ˈænjuəl/,adj.,每年的；年度的；一年一次的,1,旋转相关
14,controversy,/ˈkɒntrəvɜːsi/,n.,争议；（公开的）争论，论战（contro- 相反，反对）,1,旋转相关
15,controversial,/ˌkɒntrəˈvɜːʃl/,adj.,引起争论的；有争议的,1,旋转相关
16,contrary,/ˈkɒntrəri/,adj. / n.,相对立的，相反的　n. 相反的事实（或情况）　adj. 乖戾的；逆反的,1,旋转相关
17,contrast,/ˈkɒntrɑːst/ (n.)　/kənˈtrɑːst/ (v.),n. / v.,明显的差异；对比，对照　v. 对比，对照（contra- 相反，st 街道）in / by contrast,1,旋转相关
18,nasty,/ˈnɑːsti/,adj.,令人厌恶的；不友好的；严重的；无礼的；危险的,1,旋转相关
19,astronaut,/ˈæstrənɔːt/,n.,宇航员，航天员（astro- 天文的，航天的）,1,航天与天体
20,heaven,/ˈhevn/,n.,天堂；天空,1,航天与天体
21,satellite,/ˈsætəlaɪt/,n.,卫星；人造卫星,1,航天与天体
22,moon,/muːn/,n.,月球；卫星,1,航天与天体
23,develop,/dɪˈveləp/,v.,开发；发展；成长；增强；发挥,1,发展与演变
24,development,/dɪˈveləpmənt/,n.,发展；开发,1,发展与演变
25,developer,/dɪˈveləpə(r)/,n.,（新产品的）开发者；开发商,1,发展与演变
